Date,DJI,NIFTY,UKX
2016-11-17,18903.82,8185.8,6827.98
2016-11-18,18867.93,8179.5,6730.43
2016-11-21,18956.69,8192.25,6753.18
2016-11-22,19023.87,8190.5,6792.74
2016-11-23,19083.18,8273.8,6749.72
2016-11-25,19152.14,8243.8,6794.71
2016-11-28,19097.9,8236.05,6775.77
2016-11-29,19121.6,8288.6,6777.96
2016-11-30,19123.58,8380.65,6819.72
2016-12-01,19191.93,8407.2,6817.71
2016-12-02,19170.42,8400.35,6829.2
2016-12-05,19216.24,8412.8,6840.75
2016-12-06,19251.78,8398,6799.47
2016-12-07,19549.62,8417,6772
2016-12-08,19614.81,8435.1,6783.79
2016-12-09,19756.85,8349.35,6752.93
2016-12-12,19796.43,8391.5,6730.72
2016-12-13,19911.21,8475.8,6746.83
2016-12-14,19792.53,8602.75,6779.84
2016-12-15,19852.24,8641.25,6902.23
2016-12-16,19843.41,8632.75,6931.55
2016-12-19,19883.06,8561.3,6954.21
2016-12-20,19974.62,8716.4,6890.42
2016-12-21,19941.96,8734.25,6968.57
2016-12-22,19918.88,8740.95,6949.19
2016-12-23,19933.81,8801.05,6999.01
2016-12-27,19945.04,8768.3,7011.64
2016-12-28,19833.68,8769.05,7017.16
2016-12-29,19819.78,8778.4,7043.96
2016-12-30,19762.6,8793.55,7041.42
2017-01-03,19881.76,8805.05,7063.68
2017-01-04,19942.16,8792.3,7068.17
2017-01-05,19899.29,8724.7,7106.08
2017-01-06,19963.8,8778,7120.26
2017-01-09,19887.38,8821.7,7142.83
2017-01-10,19855.53,8879.2,7177.89
2017-01-11,19954.28,8907.85,7189.74
2017-01-12,19891,8926.9,7195.31
2017-01-13,19885.73,8939.5,7210.05
2017-01-17,19826.77,8896.7,7237.77
2017-01-18,19804.72,8879.6,7275.47
2017-01-19,19732.4,8945.8,7290.49
2017-01-20,19827.25,8899.75,7292.37
2017-01-23,19799.85,8897.55,7337.81
2017-01-24,19912.71,8963.45,7327.13
2017-01-25,20068.51,8946.9,7220.38
2017-01-26,20100.91,8924.3,7247.61
2017-01-27,20093.78,8927,7208.44
2017-01-30,19971.13,8934.55,7198.44
2017-01-31,19864.09,9087,7151.18
2017-02-01,19890.94,9084.8,7150.34
2017-02-02,19884.91,9153.7,7164.43
2017-02-03,20071.46,9160.05,7161.49
2017-02-06,20052.42,9126.85,7184.49
2017-02-07,20090.29,9121.5,7118.48
2017-02-08,20054.34,9030.45,7099.15
2017-02-09,20172.4,9086.3,7107.65
2017-02-10,20269.37,9108,7140.75
2017-02-13,20412.16,9045.2,7188.3
2017-02-14,20504.41,9100.8,7172.15
2017-02-15,20611.86,9143.8,7186.22
2017-02-16,20619.77,9173.75,7188.82
2017-02-17,20624.05,9173.75,7229.5
2017-02-21,20743,9237.85,7258.75
2017-02-22,20775.6,9265.15,7278.92
2017-02-23,20810.32,9261.95,7268.56
2017-02-24,20821.76,9198.3,7302.41
2017-02-27,20837.44,9181.45,7277.92
2017-02-28,20812.24,9237,7299.96
2017-03-01,21115.55,9203.45,7299.86
2017-03-02,21002.97,9150.8,7274.83
2017-03-03,21005.71,9139.3,7302.25
2017-03-06,20954.34,9105.15,7271.37
2017-03-07,20924.76,9103.5,7243.7
2017-03-08,20855.73,9136.4,7253
2017-03-09,20858.19,9119.4,7263.44
2017-03-10,20902.98,9217.95,7382.9
2017-03-13,20881.48,9306.6,7382.35
2017-03-14,20837.37,9351.85,7374.26
2017-03-15,20950.1,9342.15,7350.12
2017-03-16,20934.55,9304.05,7338.99
2017-03-17,20914.62,9313.8,7334.61
2017-03-20,20905.86,9311.95,7314.96
2017-03-21,20668.01,9359.9,7343.08
2017-03-22,20661.3,9285.3,7367.08
2017-03-23,20656.58,9314.05,7357.85
2017-03-24,20596.72,9316.85,7368.64
2017-03-27,20550.98,9407.3,7415.95
2017-03-28,20701.5,9422.4,7424.96
2017-03-29,20659.32,9400.9,7429.81
2017-03-30,20728.49,9445.4,7378.34
2017-03-31,20663.22,9512.25,7324.72
2017-04-03,20650.21,9525.75,7340.71
2017-04-04,20689.24,9429.45,7336.82
2017-04-05,20648.15,9427.9,7293.5
2017-04-06,20662.95,9438.25,7343.42
2017-04-07,20656.1,9386.15,7373.72
2017-04-10,20658.02,9360.55,7369.52
2017-04-11,20651.3,9509.75,7322.92
2017-04-12,20591.86,9595.1,7282.69
2017-04-13,20453.25,9604.9,7321.82
2017-04-17,20636.92,9624.55,7331.68
2017-04-18,20523.28,9621.25,7303.2
2017-04-19,20404.49,9616.1,7349.37
2017-04-20,20578.71,9653.5,7348.94
2017-04-21,20547.76,9675.1,7365.5
2017-04-24,20763.89,9637.15,7348.99
2017-04-25,20996.12,9663.9,7327.59
2017-04-26,20975.09,9647.25,7147.5
2017-04-27,20981.33,9668.25,7114.36
2017-04-28,20940.51,9616.4,7118.54
2017-05-01,20913.46,9606.9,7114.55
2017-05-02,20949.89,9618.15,7264.68
2017-05-03,20957.9,9578.05,7275.64
2017-05-04,20951.47,9588.05,7288.72
2017-05-05,21006.94,9657.55,7237.17
2017-05-08,21012.28,9653.5,7203.94
2017-05-09,20975.78,9633.6,7250.05
2017-05-10,20943.11,9630,7234.53
2017-05-11,20919.42,9574.95,7248.1
2017-05-12,20896.61,9511.4,7297.43
2017-05-15,20981.94,9491.25,7300.86
2017-05-16,20979.75,9504.1,7342.21
2017-05-17,20606.93,9520.9,7385.24
2017-05-18,20663.02,9615,7386.63
2017-05-19,20804.84,9613.3,7435.39
2017-05-22,20894.83,9637.6,7454.37
2017-05-23,20937.91,9674.55,7522.03
2017-05-24,21012.42,9665.8,7503.47
2017-05-25,21082.95,9771.05,7436.42
2017-05-26,21080.28,9786.05,7470.71
2017-05-30,21029.47,9816.1,7496.34
